Date,Doc_id,Message,Sentiment,Symbols,Time,Words
2021-02-10,287008057,"Gains today: $AAPL $HTBX $BABA $AMD $MARA 

Follow and get ready for tomorrow. Sleep 😴 bless up 💯",N/A,"['AAPL', 'AMD', 'HTBX', 'BABA', 'MARA']",04:31:15Z,"['gain', 'today', 'follow', 'get', 'ready', 'tomorrow', 'sleep', '😴', 'bless', '💯']"
2021-02-10,287005418,"TODAY BEST 🚀/ WORST😱
$SPY $AAPL $TSLA $FB $BTC.X 

Robinhood USERS making the difference... 
✅ ROBINHOODERS EFFECT
“Relationship between Robinhooders Actions and Stock Prices Change”

TODAY 10 BEST and 10 WORST PERFORMANCE of the 100 MOST POPULAR Stock held by ROBINHOODERS:

 ✅TODAY BEST ⬆️🌈
1: TLRY +40.74% 😜🚀🚀🚀
2: OGY +32.42%🚀🚀
3: SNDL +28.91%🚀
4: APHA +25.13%🚀
5: TXMD +14.86%
6: BLNK +13.97%
7: HEXO +9.92%
8: CTRM +7.18%
9: NIO +6.38%
10: CRON +6.01%

❌TODAY WORST ⬇️😱
91: GUSH -3.60%
92: PENN -3.64%
93: NCLH -3.72%
94: ET -3.97%
95: KOS -4.68%
96: NRZ -5.34%
97: AMC -11.00%
98: ZOM -14.07%
99: GME -16.15%
100: OCGN -20.24%😱",N/A,"['AAPL', 'SPY', 'FB', 'TSLA', 'BTC.X']",04:20:49Z,"['today', 'best', '🚀/', 'worst😱', 'robinhood', 'user', 'making', 'difference', '...', '✅', 'robinhooders', 'effect', '“', 'relationship', 'robinhooders', 'action', 'stock', 'price', 'change', '”', 'today', '10', 'best', '10', 'worst', 'performance', '100', 'most', 'popular', 'stock', 'held', 'robinhooders', '✅today', 'best', '⬆️🌈', '1', '+40.74', '😜🚀🚀🚀', '2', 'ogy', '+32.42', '🚀🚀', '3', '+28.91', '🚀', '4', 'apha', '+25.13', '🚀', '5', 'txmd', '+14.86', '6', 'blnk', '+13.97', '7', 'hexo', '+9.92', '8', 'ctrm', '+7.18', '9', '+6.38', '10', 'cron', '+6.01', '❌today', 'worst', '⬇️😱', '91', 'gush', '-3.60', '92', '-3.64', '93', 'nclh', '-3.72', '94', 'et', '-3.97', '95', 'ko', '-4.68', '96', 'nrz', '-5.34', '97', '-11.00', '98', 'zom', '-14.07', '99', '-16.15', '100', 'ocgn', '-20.24', '😱']"
2021-02-10,287002002,$BABA green today. Futures green rn. Hk up 2.5% perhaps the stars have aligked and we will break that bastard 269 wall tomorrow,Bullish,['BABA'],04:08:17Z,"['green', 'today', 'future', 'green', 'rn', 'hk', '2.5', 'perhaps', 'star', 'aligked', 'break', 'bastard', '269', 'wall', 'tomorrow']"
